date,rate
12/31/25,6.6
9/30/25,6.7
6/30/25,6.8
3/31/25,6.9
12/31/24,7
9/30/24,7.1
6/28/24,7.1
3/29/24,6.7
12/29/23,7.3
9/29/23,7
6/30/23,6.5
3/31/23,6.4
12/30/22,6.7
9/30/22,5.6
6/30/22,5.2
3/31/22,3.8
12/31/21,3.1
9/30/21,2.9
6/30/21,3
3/31/21,2.9
12/31/20,2.8
9/30/20,3
6/30/20,3.2
3/31/20,3.5
12/31/19,3.7
9/30/19,3.7
6/28/19,4
3/29/19,4.4
12/31/18,4.8
9/28/18,4.6
6/29/18,4.5
3/30/18,4.3
12/29/17,3.9
9/29/17,3.9
6/30/17,4
3/31/17,4.2
12/30/16,3.8
9/30/16,3.4
6/30/16,3.6
3/31/16,3.7
12/31/15,3.9
9/30/15,4
6/30/15,3.8
3/31/15,3.7
12/31/14,4
9/30/14,4.1
6/30/14,4.2
3/31/14,4.4
12/31/13,4.3
9/30/13,4.4
6/28/13,3.7
3/29/13,3.5
12/31/12,3.4
9/28/12,3.5
6/29/12,3.8
