date,mrt_last
12/31/25,518
9/30/25,582
6/30/25,575
3/31/25,402
12/31/24,442
9/30/24,497
6/28/24,463
3/29/24,329
12/29/23,329
9/29/23,397
6/30/23,421
3/31/23,323
12/30/22,408
9/30/22,544
6/30/22,668
3/31/22,754
12/31/21,1007
9/30/21,1122
6/30/21,1145
3/31/21,1297
12/31/20,1282
9/30/20,1287
6/30/20,1069
3/31/20,736
12/31/19,770
9/30/19,752
6/28/19,581
3/29/19,359
12/31/18,383
9/28/18,465
6/29/18,508
3/30/18,410
12/29/17,455
9/29/17,477
6/30/17,492
3/31/17,403
12/30/16,565
9/30/16,589
6/30/16,521
3/31/16,376
12/31/15,384
9/30/15,438
6/30/15,511
3/31/15,397
12/31/14,327
9/30/14,374
6/30/14,348
3/31/14,251
12/31/13,358
9/30/13,450
6/28/13,572
3/29/13,532
12/31/12,581
9/28/12,596
6/29/12,543
