"date","rate","yrmo"
2012-06-29,3.8,"2012-06"
2012-09-28,3.5,"2012-09"
2012-12-31,3.4,"2012-12"
2013-03-29,3.5,"2013-03"
2013-06-28,3.7,"2013-06"
2013-09-30,4.4,"2013-09"
2013-12-31,4.3,"2013-12"
2014-03-31,4.4,"2014-03"
2014-06-30,4.2,"2014-06"
2014-09-30,4.1,"2014-09"
2014-12-31,4,"2014-12"
2015-03-31,3.7,"2015-03"
2015-06-30,3.8,"2015-06"
2015-09-30,4,"2015-09"
2015-12-31,3.9,"2015-12"
2016-03-31,3.7,"2016-03"
2016-06-30,3.6,"2016-06"
2016-09-30,3.4,"2016-09"
2016-12-30,3.8,"2016-12"
2017-03-31,4.2,"2017-03"
2017-06-30,4,"2017-06"
2017-09-29,3.9,"2017-09"
2017-12-29,3.9,"2017-12"
2018-03-30,4.3,"2018-03"
2018-06-29,4.5,"2018-06"
2018-09-28,4.6,"2018-09"
2018-12-31,4.8,"2018-12"
2019-03-29,4.4,"2019-03"
2019-06-28,4,"2019-06"
2019-09-30,3.7,"2019-09"
2019-12-31,3.7,"2019-12"
2020-03-31,3.5,"2020-03"
2020-06-30,3.2,"2020-06"
2020-09-30,3,"2020-09"
2020-12-31,2.8,"2020-12"
2021-03-31,2.9,"2021-03"
2021-06-30,3,"2021-06"
2021-09-30,2.9,"2021-09"
2021-12-31,3.1,"2021-12"
2022-03-31,3.8,"2022-03"
2022-06-30,5.2,"2022-06"
2022-09-30,5.6,"2022-09"
2022-12-30,6.7,"2022-12"
2023-03-31,6.4,"2023-03"
2023-06-30,6.5,"2023-06"
2023-09-29,7,"2023-09"
2023-12-29,7.3,"2023-12"
2024-03-29,6.7,"2024-03"
2024-06-28,7.1,"2024-06"
2024-09-30,7.1,"2024-09"
2024-12-31,7,"2024-12"
2025-03-31,6.9,"2025-03"
2025-06-30,6.8,"2025-06"
2025-09-30,6.7,"2025-09"
2025-12-31,6.6,"2025-12"
