"zpid","county","propertyTaxRate","timeOnZillowDays","yearBuilt","annualHomeownersInsurance","monthlyHoaFee","favoriteCount","pageViewCount"
200404042,"Middlesex County",1.9,5,1930,420,NA,0,12
347056087,"New Haven County",2.13,7,1965,475,810,1,26
57254348,"Fairfield County",1.69,9,1972,462,332,0,20
57735447,"Hartford County",2.16,14,1900,466,NA,0,44
59000609,"Tolland County",2.06,19,1950,462,NA,0,29
345460302,"New Haven County",2.13,20,1958,463,2081,1,34
2056886378,"Middlesex County",1.9,23,1987,483,233,0,20
241163272,"Hartford County",2.16,26,1969,491,327,0,50
61994768,"New London County",1.66,28,1973,491,463,0,18
241157987,"Hartford County",2.16,30,1981,502,250,0,16
57737572,"Hartford County",2.16,33,1910,428,250,0,33
57247564,"Fairfield County",1.69,34,1949,420,NA,0,9
57910660,"New Haven County",2.13,34,1971,479,421,0,17
347397039,"Tolland County",2.06,35,1964,462,276,0,23
59966293,"Hartford County",2.16,36,1955,479,NA,0,29
59296178,"Windham County",1.69,37,1962,458,NA,0,9
57935560,"New Haven County",2.13,41,1971,462,505,0,17
343513883,"Hartford County",2.16,41,1941,428,255,0,11
207181052,"Tolland County",2.06,43,1969,462,302,0,17
57355677,"Fairfield County",1.69,47,1942,420,NA,0,16
58162278,"Hartford County",2.16,49,1860,420,NA,0,15
59295751,"New Haven County",2.13,49,1987,483,146,0,22
58968757,"New London County",1.66,50,1961,436,NA,0,12
57281339,"Fairfield County",1.69,51,1975,462,180,0,28
2053760309,"Fairfield County",1.69,54,1942,491,544,0,31
57254361,"Fairfield County",1.69,56,1972,420,339,1,21
241164570,"Hartford County",2.16,56,1957,496,244,0,13
57809982,"Litchfield County",1.78,58,1983,466,NA,0,14
57735379,"Hartford County",2.16,61,1920,462,330,0,18
57736205,"Hartford County",2.16,61,1988,483,365,0,14
2056894161,"Litchfield County",1.78,61,1983,466,250,0,0
57708776,"Hartford County",2.16,63,1900,424,NA,0,32
57739754,"Hartford County",2.16,63,1900,449,NA,0,26
57334775,"Fairfield County",1.69,69,1868,420,NA,0,5
57906011,"New Haven County",2.13,69,1972,441,247,0,2
241320420,"New Haven County",2.13,70,1966,433,NA,0,5
57736088,"Hartford County",2.16,71,1988,487,365,0,4
147591517,"New London County",1.66,72,1989,500,NA,0,1
241163073,"Hartford County",2.16,72,1959,420,367,0,3
2063599010,"New Haven County",2.13,72,1972,441,276,0,2
