,,,,,,,,7/17/2024,7/17/2024,7/17/2024,7/17/2024,7/30/2024,,8/27/2024,8/27/2024,8/27/2024,8/27/2024,,USE Revised - new info7/30/2024,USE Revised - new info7/30/2024,USE Revised,projected,8/27/2024
Date,MB30ER,MB3015ER,MB305AER,H15T10Y,FMHPUS-REVISED,SPCSUSS-REVISED,SPCSNYS-REVISED,PHUCTOT,PHUCNE,NHSPSTOT,NHSPSNE,HPIMLEVL,HOWNALL,HPI LEVL,HPI STCT,HPI PURC,HPI NE,HPPRCTPO,SPCSUSS,SPCSNYS,FMHPUS,FANNORIG,HPI YOY%
7/12/2024,,,,4.18,,,,,,,,,,,,,,,,,,484,
7/11/2024,,,,4.2,,,,,,,,,,,,,,,,,,484,
7/10/2024,,,,4.28,,,,,,,,,,,,,,,,,,484,
7/9/2024,,,,4.3,,,,,,,,,,,,,,,,,,484,
7/8/2024,,,,4.28,,,,,,,,,,,,,,,,,,484,
7/7/2024,,,,4.28,,,,,,,,,,,,,,,,,,484,
7/6/2024,,,,4.28,,,,,,,,,,,,,,,,,,484,
7/5/2024,7.17,6.79,6.45,4.28,,,,,,,,,,,,,,,,,,484,
7/4/2024,7.17,6.79,6.45,4.36,,,,,,,,,,,,,,,,,,484,
7/3/2024,7.17,6.79,6.45,4.36,,,,,,,,,,,,,,,,,,484,
7/2/2024,7.17,6.79,6.45,4.43,,,,,,,,,,,,,,,,,,484,
7/1/2024,7.17,6.79,6.45,4.48,,,,,,,,,,,,,,,,,,484,
6/30/2024,7.17,6.79,6.45,4.36,,,,,,,,,,,,,,,,,,453,
6/29/2024,7.17,6.79,6.45,4.36,,,,,,,,,,,,,,,,,,453,
6/28/2024,7.21,6.69,6.58,4.36,,,,,,,,,,,,,,,,,,453,
6/27/2024,7.21,6.69,6.58,4.29,,,,,,,,,,,,,,,,,,453,
6/26/2024,7.21,6.69,6.58,4.32,,,,,,,,,,,,,,,,,,453,
6/25/2024,7.21,6.69,6.58,4.23,,,,,,,,,,,,,,,,,,453,
6/24/2024,7.21,6.69,6.58,4.25,,,,,,,,,,,,,,,,,,453,
6/23/2024,7.21,6.69,6.58,4.25,,,,,,,,,,,,,,,,,,453,
6/22/2024,7.21,6.69,6.58,4.25,,,,,,,,,,,,,,,,,,453,
6/21/2024,7.1,6.64,6.48,4.25,,,,,,,,,,,,,,,,,,453,
6/20/2024,7.1,6.64,6.48,4.25,,,,,,,,,,,,,,,,,,453,
6/19/2024,7.1,6.64,6.48,4.22,,,,,,,,,,,,,,,,,,453,
6/18/2024,7.1,6.64,6.48,4.22,,,,,,,,,,,,,,,,,,453,
6/17/2024,7.1,6.64,6.48,4.28,,,,,,,,,,,,,,,,,,453,
6/16/2024,7.1,6.64,6.48,4.2,,,,,,,,,,,,,,,,,,453,
6/15/2024,7.1,6.64,6.48,4.2,,,,,,,,,,,,,,,,,,453,
6/14/2024,7.12,6.62,6.63,4.2,,,,,,,,,,,,,,,,,,453,
6/13/2024,7.12,6.62,6.63,4.24,,,,,,,,,,,,,,,,,,453,
6/12/2024,7.12,6.62,6.63,4.31,,,,,,,,,,,,,,,,,,453,
6/11/2024,7.12,6.62,6.63,4.39,,,,,,,,,,,,,,,,,,453,
6/10/2024,7.12,6.62,6.63,4.47,,,,,,,,,,,,,,,,,,453,
6/9/2024,7.12,6.62,6.63,4.43,,,,,,,,,,,,,,,,,,453,
6/8/2024,7.12,6.62,6.63,4.43,,,,,,,,,,,,,,,,,,453,
6/7/2024,7.21,6.74,6.75,4.43,,,,,,,,,,,,,,,,,,453,
6/6/2024,7.21,6.74,6.75,4.28,,,,,,,,,,,,,,,,,,453,
6/5/2024,7.21,6.74,6.75,4.29,,,,,,,,,,,,,,,,,,453,
6/4/2024,7.21,6.74,6.75,4.33,,,,,,,,,,,,,,,,,,453,
6/3/2024,7.21,6.74,6.75,4.41,,,,,,,,,,,,,,,,,,453,
6/2/2024,7.21,6.74,6.75,4.51,,,,,,,,,,,,,,,,,,453,
6/1/2024,7.21,6.74,6.75,4.51,,,,,,,,,,,,,,,,,,453,
5/31/2024,7.26,6.91,6.6,4.51,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/30/2024,7.26,6.91,6.6,4.55,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/29/2024,7.26,6.91,6.6,4.61,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/28/2024,7.26,6.91,6.6,4.54,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/27/2024,7.26,6.91,6.6,4.46,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/26/2024,7.26,6.91,6.6,4.46,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/25/2024,7.26,6.91,6.6,4.46,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/24/2024,7.24,6.83,6.92,4.46,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/23/2024,7.24,6.83,6.92,4.47,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/22/2024,7.24,6.83,6.92,4.43,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
5/21/2024,7.24,6.83,6.92,4.41,298.49,,,1514,84,1277,77,,,,,,,,,,,453,
