date,mrt_last
12/31/2025,518
9/30/2025,582
6/30/2025,575
3/31/2025,402
12/31/2024,442
9/30/2024,497
6/28/2024,463
3/29/2024,329
12/29/2023,329
9/29/2023,397
6/30/2023,421
3/31/2023,323
12/30/2022,408
9/30/2022,544
6/30/2022,668
3/31/2022,754
12/31/2021,1007
9/30/2021,1122
6/30/2021,1145
3/31/2021,1297
12/31/2020,1282
9/30/2020,1287
6/30/2020,1069
3/31/2020,736
12/31/2019,770
9/30/2019,752
6/28/2019,581
3/29/2019,359
12/31/2018,383
9/28/2018,465
6/29/2018,508
3/30/2018,410
12/29/2017,455
9/29/2017,477
6/30/2017,492
3/31/2017,403
12/30/2016,565
9/30/2016,589
6/30/2016,521
3/31/2016,376
12/31/2015,384
9/30/2015,438
6/30/2015,511
3/31/2015,397
12/31/2014,327
9/30/2014,374
6/30/2014,348
3/31/2014,251
12/31/2013,358
9/30/2013,450
6/28/2013,572
3/29/2013,532
12/31/2012,581
9/28/2012,596
6/29/2012,543
